Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,272,3661272,0.0888671875,1.01171875,-0.00927734375,-1.89208984375,-1.77001953125,-0.30517578125,-545.3654706590947,-272.9539522744221,-370.5942909442066,1745594633.9014173
2,1,1,1,287,15,0.08349609375,1.00390625,-0.0146484375,-1.953125,-1.52587890625,-0.06103515625,-557.3404606206619,-274.450826019618,-367.58539801963076,1745594633.919429
3,1,1,1,302,15,0.07470703125,1.01611328125,-0.013671875,-1.77001953125,-1.46484375,-0.06103515625,-555.8435868754661,-265.4695835484426,-352.54093339675126,1745594633.9264984
4,1,1,1,317,15,0.0791015625,1.01025390625,-0.02001953125,-1.953125,-2.01416015625,0.06103515625,-549.8560918946825,-260.97896231285495,-372.09873740649454,1745594633.9329767
5,1,1,1,332,15,0.0859375,1.01416015625,-0.01513671875,-2.197265625,-2.197265625,-0.1220703125,-545.3654706590947,-275.9476997648139,-376.6120767933584,1745594633.93947
6,1,1,1,347,15,0.087890625,1.00244140625,-0.0087890625,-2.3193359375,-2.62451171875,0.06103515625,-555.8435868754661,-280.4383210004015,-370.5942909442066,1745594633.9465842
7,1,1,1,362,15,0.0849609375,1.0048828125,-0.00927734375,-2.38037109375,-2.685546875,0.0,-561.8310818562496,-271.4570785292262,-378.1165232556463,1745594633.9533627
8,1,1,1,377,15,0.076171875,1.0166015625,-0.0224609375,-2.0751953125,-2.13623046875,0.1220703125,-558.8373343658578,-269.9602047840303,-373.6031838687825,1745594633.9599311
9,1,1,1,392,15,0.0888671875,1.00830078125,-0.0078125,-1.8310546875,-1.8310546875,0.1220703125,-555.8435868754661,-275.9476997648139,-370.5942909442066,1745594633.9665773
10,1,1,1,407,15,0.09375,1.00048828125,-0.01953125,-1.89208984375,-1.89208984375,-0.1220703125,-552.8498393850743,-275.9476997648139,-379.62096971793426,1745594633.986732
11,1,1,1,422,15,0.08447265625,1.00634765625,-0.01220703125,-1.89208984375,-1.52587890625,-0.18310546875,-546.8623444042908,-281.93519474559736,-375.1076303310705,1745594634.0269637
12,1,1,1,437,15,0.07958984375,1.0146484375,-0.01806640625,-1.89208984375,-1.708984375,-0.06103515625,-552.8498393850743,-275.9476997648139,-373.6031838687825,1745594634.0335498
13,1,1,1,452,15,0.095703125,1.009765625,-0.01318359375,-1.5869140625,-1.64794921875,0.0,-557.3404606206619,-271.4570785292262,-372.09873740649454,1745594634.0401273
14,1,1,1,467,15,0.07470703125,1.00634765625,-0.0224609375,-1.64794921875,-1.220703125,-0.42724609375,-548.3592181494867,-272.9539522744221,-387.14320202937404,1745594634.0466604
15,1,1,1,482,15,0.087890625,1.015625,-0.0107421875,-1.708984375,-1.28173828125,-0.30517578125,-566.3217030918373,-269.9602047840303,-370.5942909442066,1745594634.0533822
16,1,1,1,497,15,0.08935546875,1.009765625,-0.01708984375,-1.64794921875,-0.9765625,-0.18310546875,-566.3217030918373,-265.4695835484426,-376.6120767933584,1745594634.0599155
