Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,272,3661272,0.12060546875,1.005859375,-0.099609375,-0.79345703125,0.1220703125,-0.06103515625,-286.40631274020535,101.26448402455115,-141.9184286764388,1741601206.4260652
2,1,1,1,287,15,0.1171875,1.001953125,-0.10986328125,-0.79345703125,0.0,0.0,-286.40631274020535,119.22696896690185,-134.39619636499907,1741601206.4599304
3,1,1,1,302,15,0.1044921875,1.001953125,-0.09716796875,-0.8544921875,0.0,-0.1220703125,-290.89693397579305,108.7488527505306,-131.38730344042315,1741601206.471828
4,1,1,1,317,15,0.1162109375,0.99365234375,-0.0966796875,-0.9765625,-0.244140625,-0.06103515625,-287.90318648540125,110.2457264957265,-137.40508928957496,1741601206.4784412
5,1,1,1,332,15,0.12109375,1.00390625,-0.10400390625,-1.03759765625,-0.244140625,0.0,-277.42507026902996,110.2457264957265,-129.8828569781352,1741601206.4858098
6,1,1,1,347,15,0.119140625,0.99462890625,-0.095703125,-0.9765625,-0.18310546875,-0.06103515625,-295.3875552113807,113.23947398611827,-132.89174990271113,1741601206.492859
7,1,1,1,362,15,0.126953125,0.99609375,-0.1025390625,-0.8544921875,-0.1220703125,0.0,-296.8844289565766,108.7488527505306,-128.37841051584726,1741601206.4992285
8,1,1,1,377,15,0.1123046875,1.009765625,-0.08935546875,-0.91552734375,0.0,0.0,-310.3562926633397,117.73009522170595,-137.40508928957496,1741601206.505645
9,1,1,1,392,15,0.1171875,0.9921875,-0.10693359375,-0.8544921875,0.06103515625,0.0,-286.40631274020535,108.7488527505306,-134.39619636499907,1741601206.5120287
10,1,1,1,407,15,0.11376953125,1.00390625,-0.09912109375,-0.9765625,-0.06103515625,-0.18310546875,-293.8906814661848,104.25823151494292,-114.83839235525575,1741601206.747627
11,1,1,1,422,15,0.1171875,1.00146484375,-0.08837890625,-0.91552734375,-0.18310546875,-0.244140625,-301.3750501921643,104.25823151494292,-134.39619636499907,1741601206.7540321
12,1,1,1,437,15,0.12158203125,0.9921875,-0.091796875,-0.9765625,-0.244140625,0.0,-286.40631274020535,98.27073653415934,-134.39619636499907,1741601206.7605162
13,1,1,1,452,15,0.11767578125,0.99609375,-0.11474609375,-0.91552734375,0.0,-0.06103515625,-284.90943899500945,107.2519790053347,-122.36062466669549,1741601206.766887
14,1,1,1,467,15,0.109375,0.994140625,-0.10400390625,-0.91552734375,0.0,-0.06103515625,-277.42507026902996,107.2519790053347,-126.87396405355932,1741601206.7733142
15,1,1,1,482,15,0.12353515625,0.99658203125,-0.09619140625,-0.8544921875,-0.244140625,-0.18310546875,-283.4125652498136,104.25823151494292,-141.9184286764388,1741601206.7797012
16,1,1,1,497,15,0.1103515625,0.998046875,-0.099609375,-0.9765625,-0.30517578125,0.06103515625,-293.8906814661848,104.25823151494292,-117.84728527983165,1741601206.7860668
17,1,1,1,512,15,0.10986328125,1.00341796875,-0.0986328125,-0.79345703125,-0.30517578125,-0.244140625,-293.8906814661848,101.26448402455115,-128.37841051584726,1741601206.792459
