Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,263,3661263,0.212890625,0.9892578125,-0.11279296875,-0.06103515625,-0.1220703125,-0.06103515625,-310.3562926633397,107.2519790053347,-81.74057018492094,1741601407.2985823
2,1,1,1,278,15,0.21923828125,0.98046875,-0.0966796875,-0.244140625,0.18310546875,-0.18310546875,-305.8656714277519,92.28324155337577,-63.68721263746558,1741601407.3050098
3,1,1,1,293,15,0.2138671875,0.97314453125,-0.09326171875,-0.18310546875,0.42724609375,-0.18310546875,-302.8719239373602,95.27698904376757,-68.20055202432943,1741601407.311621
4,1,1,1,308,15,0.21630859375,0.98046875,-0.095703125,-0.1220703125,0.244140625,-0.06103515625,-313.3500401537314,84.79887282739631,-71.20944494890531,1741601407.3187675
5,1,1,1,323,15,0.21630859375,0.984375,-0.09765625,0.0,0.244140625,0.0,-316.3437876441232,89.28949406298399,-74.2183378734812,1741601407.3269281
6,1,1,1,338,15,0.2197265625,0.97705078125,-0.11083984375,-0.18310546875,0.54931640625,-0.18310546875,-314.8469138989273,90.78636780817989,-69.70499848661737,1741601407.333408
7,1,1,1,353,15,0.203125,0.98193359375,-0.1025390625,-0.1220703125,0.54931640625,-0.06103515625,-326.82190386049444,99.76761027935525,-77.22723079805711,1741601407.340514
8,1,1,1,368,15,0.21435546875,0.978515625,-0.11083984375,-0.06103515625,0.30517578125,0.0,-322.3312826249068,108.7488527505306,-65.19165909975354,1741601407.3468993
9,1,1,1,383,15,0.2099609375,0.98583984375,-0.0966796875,0.0,0.42724609375,-0.06103515625,-323.82815637010265,99.76761027935525,-68.20055202432943,1741601407.353309
10,1,1,1,398,15,0.208984375,0.9892578125,-0.10595703125,-0.1220703125,0.18310546875,0.0,-323.82815637010265,95.27698904376757,-63.68721263746558,1741601407.360397
11,1,1,1,413,15,0.21533203125,0.99169921875,-0.09228515625,0.0,0.1220703125,0.30517578125,-307.3625451729478,101.26448402455115,-65.19165909975354,1741601407.3668437
12,1,1,1,428,15,0.2158203125,0.97900390625,-0.09716796875,0.0,0.244140625,0.30517578125,-302.8719239373602,95.27698904376757,-74.2183378734812,1741601407.9197812
13,1,1,1,443,15,0.21142578125,0.98291015625,-0.10498046875,0.0,0.42724609375,0.30517578125,-311.85316640853557,75.81763035622096,-75.72278433576916,1741601407.926197
14,1,1,1,458,15,0.2177734375,0.98291015625,-0.1015625,-0.06103515625,0.0,0.244140625,-320.8344088797109,92.28324155337577,-74.2183378734812,1741601407.939466
15,1,1,1,473,15,0.21240234375,0.9794921875,-0.1025390625,-0.18310546875,-0.06103515625,0.1220703125,-313.3500401537314,102.76135776974702,-74.2183378734812,1741601407.945881
