Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,269,3661269,-0.138671875,0.99462890625,-0.033203125,-1.89208984375,0.244140625,-2.74658203125,-40.91901852807893,-407.67258934205245,158.97086378115046,1745594602.168556
2,1,1,1,284,15,-0.15869140625,0.99072265625,-0.02734375,-1.77001953125,-0.06103515625,-2.99072265625,-30.44090231170768,-418.1507055584236,172.51088194174199,1745594602.175461
3,1,1,1,299,15,-0.13720703125,0.98291015625,-0.05126953125,-1.77001953125,-1.28173828125,-2.62451171875,-42.41589227327482,-412.1632105776401,157.4664173188625,1745594602.1819048
4,1,1,1,314,15,-0.14208984375,0.98779296875,-0.0341796875,-2.197265625,-1.89208984375,-2.9296875,-40.91901852807893,-403.18196810646475,161.97975670572634,1745594602.1885788
5,1,1,1,329,15,-0.1513671875,0.9794921875,-0.044921875,-2.25830078125,-1.89208984375,-2.9296875,-51.39713474445018,-403.18196810646475,172.51088194174199,1745594602.1951349
6,1,1,1,344,15,-0.16015625,0.98779296875,-0.02392578125,-2.50244140625,-2.685546875,-2.74658203125,-52.89400848964607,-401.68509436126885,157.4664173188625,1745594602.201786
7,1,1,1,359,15,-0.1513671875,0.98095703125,-0.03173828125,-2.685546875,-2.3193359375,-2.3193359375,-51.39713474445018,-400.18822061607295,183.04200717775757,1745594603.0868251
8,1,1,1,374,15,-0.1611328125,0.98779296875,-0.0322265625,-2.685546875,-2.01416015625,-2.62451171875,-45.409639763666604,-398.6913468708771,160.4753102434384,1745594603.0938888
9,1,1,1,389,15,-0.15380859375,0.9990234375,-0.02783203125,-2.44140625,-1.89208984375,-2.3193359375,-49.90026099925429,-412.1632105776401,154.4575243942866,1745594603.105755
10,1,1,1,404,15,-0.14892578125,0.99853515625,-0.02294921875,-3.11279296875,-1.52587890625,-2.50244140625,-43.91276601847071,-403.18196810646475,158.97086378115046,1745594603.112173
11,1,1,1,419,15,-0.14306640625,0.994140625,-0.04736328125,-2.86865234375,-1.40380859375,-1.953125,-24.45340733092411,-416.6538318132278,160.4753102434384,1745594603.118715
12,1,1,1,434,15,-0.15869140625,0.99755859375,-0.0302734375,-2.44140625,-1.64794921875,-1.953125,-42.41589227327482,-404.67884185166065,160.4753102434384,1745594603.1253414
13,1,1,1,449,15,-0.14794921875,1.00048828125,-0.02197265625,-2.25830078125,-1.28173828125,-1.8310546875,-54.39088223484197,-403.18196810646475,148.43973854513484,1745594603.131923
