Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,271,3661271,-0.0595703125,1.01025390625,-0.04931640625,-0.48828125,-0.48828125,2.197265625,59.3715224000459,-118.77595651924511,-320.94755768870436,1745594373.58237
2,1,1,1,286,15,-0.0615234375,1.0087890625,-0.05078125,-0.732421875,-0.48828125,1.64794921875,74.3402598520048,-124.76345150002867,-332.9831293870079,1745594373.5888507
3,1,1,1,301,15,-0.06884765625,1.0068359375,-0.0498046875,-0.9765625,-0.42724609375,1.03759765625,66.85589112602536,-111.29158779326563,-317.93866476412853,1745594373.5952988
4,1,1,1,316,15,-0.06787109375,1.00634765625,-0.0517578125,-0.9765625,-0.732421875,0.732421875,57.87464865484999,-117.27908277404921,-332.9831293870079,1745594373.601728
5,1,1,1,331,15,-0.0615234375,0.99609375,-0.03955078125,-1.0986328125,-0.9765625,0.42724609375,68.35276487122125,-106.80096655767797,-326.9653435378562,1745594373.6089766
6,1,1,1,346,15,-0.07080078125,0.9931640625,-0.0478515625,-1.28173828125,-1.46484375,0.0,62.365269890437666,-123.26657775483278,-328.46979000014414,1745594373.6154456
7,1,1,1,361,15,-0.0693359375,1.00341796875,-0.0419921875,-1.46484375,-1.15966796875,0.1220703125,69.84963861641714,-115.78220902885332,-317.93866476412853,1745594373.6218612
8,1,1,1,376,15,-0.07470703125,1.00048828125,-0.0498046875,-1.28173828125,-1.3427734375,0.0,77.3340073423966,-126.26032524522458,-331.47868292472,1745594373.6283653
9,1,1,1,391,15,-0.07568359375,0.99462890625,-0.05126953125,-1.46484375,-1.52587890625,0.18310546875,63.86214363563357,-117.27908277404921,-351.0364869344633,1745594373.6347816
10,1,1,1,406,15,-0.0625,0.99609375,-0.05908203125,-1.46484375,-1.15966796875,0.0,54.8809011644582,-123.26657775483278,-325.4608970755682,1745594373.6412468
11,1,1,1,421,15,-0.0634765625,1.00048828125,-0.05517578125,-1.77001953125,-1.40380859375,-0.30517578125,80.32775483278839,-129.25407273561638,-317.93866476412853,1745594373.6476946
12,1,1,1,436,15,-0.06201171875,1.005859375,-0.04931640625,-1.708984375,-1.40380859375,-0.30517578125,69.84963861641714,-108.29784030287387,-317.93866476412853,1745594373.6541023
13,1,1,1,451,15,-0.0634765625,1.00927734375,-0.0546875,-1.8310546875,-1.15966796875,-0.244140625,62.365269890437666,-111.29158779326563,-328.46979000014414,1745594373.6605442
14,1,1,1,466,15,-0.05859375,1.01123046875,-0.048828125,-1.953125,-1.0986328125,-0.54931640625,69.84963861641714,-129.25407273561638,-328.46979000014414,1745594373.6670349
15,1,1,1,481,15,-0.07177734375,1.0185546875,-0.04248046875,-1.89208984375,-0.8544921875,-0.91552734375,59.3715224000459,-123.26657775483278,-328.46979000014414,1745594373.683875
16,1,1,1,496,15,-0.06640625,1.0068359375,-0.033203125,-1.8310546875,-0.54931640625,-0.9765625,62.365269890437666,-118.77595651924511,-325.4608970755682,1745594373.690339
17,1,1,1,511,15,-0.06640625,1.00439453125,-0.0537109375,-1.89208984375,-0.6103515625,-0.79345703125,69.84963861641714,-108.29784030287387,-328.46979000014414,1745594373.6967807
18,1,1,1,526,15,-0.07275390625,1.0029296875,-0.0380859375,-1.89208984375,-0.9765625,-0.9765625,57.87464865484999,-124.76345150002867,-326.9653435378562,1745594373.7031896
19,1,1,1,541,15,-0.07568359375,1.00390625,-0.0419921875,-1.8310546875,-1.0986328125,-0.67138671875,63.86214363563357,-120.272830264441,-329.97423646243203,1745594373.7096198
20,1,1,1,556,15,-0.0732421875,0.99755859375,-0.05712890625,-1.8310546875,-0.9765625,-0.18310546875,44.40278494808696,-108.29784030287387,-320.94755768870436,1745594373.7160537
21,1,1,1,571,15,-0.07470703125,1.00048828125,-0.0390625,-1.708984375,-0.6103515625,-0.30517578125,78.83088108759249,-106.80096655767797,-316.43421830184053,1745594373.7224724
22,1,1,1,586,15,-0.08154296875,1.00341796875,-0.0380859375,-1.8310546875,-0.91552734375,0.0,51.887153674066425,-126.26032524522458,-325.4608970755682,1745594373.7291837
23,1,1,1,601,15,-0.07080078125,1.001953125,-0.04931640625,-2.01416015625,-0.732421875,0.18310546875,72.84338610680892,-123.26657775483278,-345.01870108531153,1745594373.7357152
24,1,1,1,616,15,-0.076171875,1.0068359375,-0.04638671875,-2.0751953125,-0.67138671875,0.1220703125,74.3402598520048,-109.79471404806975,-308.9119859904008,1745594373.7421474
25,1,1,1,631,15,-0.06884765625,1.00634765625,-0.0517578125,-2.197265625,-0.732421875,0.42724609375,47.396532438478744,-106.80096655767797,-332.9831293870079,1745594373.7486033
26,1,1,1,646,15,-0.06298828125,0.99755859375,-0.04931640625,-2.25830078125,-0.67138671875,0.30517578125,69.84963861641714,-118.77595651924511,-320.94755768870436,1745594373.755055
27,1,1,1,661,15,-0.06787109375,1.0029296875,-0.04736328125,-2.197265625,-0.732421875,0.42724609375,69.84963861641714,-118.77595651924511,-328.46979000014414,1745594373.7614663
28,1,1,1,676,15,-0.076171875,1.0087890625,-0.05029296875,-2.25830078125,-0.54931640625,0.18310546875,69.84963861641714,-111.29158779326563,-342.0098081607356,1745594373.767922
29,1,1,1,691,15,-0.06298828125,1.0087890625,-0.04638671875,-2.3193359375,-0.48828125,0.3662109375,81.82462857798427,-106.80096655767797,-326.9653435378562,1745594374.690172
30,1,1,1,706,15,-0.06103515625,1.0,-0.03662109375,-2.3193359375,-0.8544921875,0.42724609375,51.887153674066425,-118.77595651924511,-317.93866476412853,1745594374.69666
31,1,1,1,721,15,-0.06689453125,1.005859375,-0.041015625,-2.25830078125,-0.67138671875,-0.06103515625,66.85589112602536,-123.26657775483278,-335.99202231158387,1745594374.7030778
32,1,1,1,736,15,-0.0673828125,1.0009765625,-0.03076171875,-2.25830078125,-0.54931640625,0.244140625,69.84963861641714,-118.77595651924511,-328.46979000014414,1745594374.7095292
33,1,1,1,751,15,-0.07373046875,1.01123046875,-0.05224609375,-1.953125,-0.6103515625,0.0,68.35276487122125,-135.2415677163999,-337.4964687738718,1745594374.715964
34,1,1,1,766,15,-0.0693359375,1.00439453125,-0.037109375,-2.01416015625,-0.6103515625,0.06103515625,60.86839614524178,-124.76345150002867,-329.97423646243203,1745594374.722373
35,1,1,1,781,15,-0.06396484375,1.0068359375,-0.0380859375,-2.13623046875,-0.732421875,-0.1220703125,60.86839614524178,-120.272830264441,-348.0275940098874,1745594374.729295
36,1,1,1,796,15,-0.06640625,1.0,-0.05029296875,-1.953125,-0.732421875,-0.244140625,53.38402741926232,-109.79471404806975,-337.4964687738718,1745594374.735771
37,1,1,1,811,15,-0.06591796875,1.0,-0.044921875,-1.8310546875,-1.52587890625,-0.244140625,50.390279928870534,-117.27908277404921,-329.97423646243203,1745594374.7422576
38,1,1,1,826,15,-0.06298828125,1.0087890625,-0.0380859375,-1.89208984375,-1.3427734375,-0.30517578125,53.38402741926232,-117.27908277404921,-329.97423646243203,1745594374.804609
39,1,1,1,841,15,-0.0751953125,1.0068359375,-0.04833984375,-1.64794921875,-0.732421875,-0.3662109375,62.365269890437666,-115.78220902885332,-339.00091523615976,1745594374.8111105
40,1,1,1,856,15,-0.0732421875,0.9990234375,-0.0283203125,-1.708984375,-1.03759765625,-0.8544921875,62.365269890437666,-118.77595651924511,-325.4608970755682,1745594374.817582
