Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,272,3661272,0.5068359375,0.8486328125,-0.21240234375,0.0,0.0,-0.1220703125,59.3715224000459,-97.81972408650262,-512.0122583992735,1741600378.6268418
2,1,1,1,287,15,0.50341796875,0.85009765625,-0.2060546875,0.0,0.0,0.244140625,80.32775483278839,-90.33535536052314,-477.40998976665077,1741600378.6332633
3,1,1,1,302,15,0.5185546875,0.85009765625,-0.216796875,0.18310546875,-0.06103515625,-0.06103515625,78.83088108759249,-81.35411288934777,-516.5255977861374,1741600378.656767
4,1,1,1,317,15,0.50927734375,0.85888671875,-0.21728515625,0.06103515625,0.0,-0.1220703125,72.84338610680892,-79.85723914415189,-498.47224023868205,1741600378.663459
5,1,1,1,332,15,0.515625,0.84716796875,-0.208984375,0.18310546875,-0.1220703125,-0.06103515625,50.390279928870534,-96.3228503413067,-502.9855796255459,1741600379.2691216
6,1,1,1,347,15,0.5078125,0.85205078125,-0.20263671875,0.06103515625,0.18310546875,-0.06103515625,86.31524981357195,-96.3228503413067,-495.4633473141061,1741600379.280928
7,1,1,1,362,15,0.50634765625,0.84765625,-0.216796875,0.06103515625,0.244140625,-0.1220703125,60.86839614524178,-99.3165978316985,-492.45445438953027,1741600379.292539
8,1,1,1,377,15,0.513671875,0.85302734375,-0.2099609375,0.06103515625,0.0,-0.1220703125,81.82462857798427,-81.35411288934777,-502.9855796255459,1741600379.2989788
9,1,1,1,392,15,0.5146484375,0.8486328125,-0.20458984375,0.1220703125,-0.1220703125,0.1220703125,66.85589112602536,-93.32910285091494,-490.9500079272423,1741600379.3053725
10,1,1,1,407,15,0.51171875,0.84912109375,-0.20458984375,0.30517578125,-0.06103515625,-0.18310546875,69.84963861641714,-90.33535536052314,-507.4989190124097,1741600379.3117917
11,1,1,1,422,15,0.5087890625,0.8525390625,-0.201171875,0.1220703125,-0.06103515625,-0.06103515625,71.34651236161304,-88.83848161532725,-505.99447255012177,1741600379.3182
12,1,1,1,437,15,0.5078125,0.85009765625,-0.2119140625,0.18310546875,-0.1220703125,-0.1220703125,54.8809011644582,-82.85098663454367,-483.4277756158026,1741600379.3245912
13,1,1,1,452,15,0.505859375,0.849609375,-0.2109375,0.06103515625,0.0,0.06103515625,69.84963861641714,-97.81972408650262,-490.9500079272423,1741600379.3313832
14,1,1,1,467,15,0.51416015625,0.85498046875,-0.212890625,0.1220703125,-0.06103515625,0.06103515625,77.3340073423966,-105.30409281248207,-498.47224023868205,1741600379.3378322
15,1,1,1,482,15,0.51123046875,0.85302734375,-0.1962890625,0.0,0.0,-0.244140625,60.86839614524178,-91.83222910571904,-499.97668670097,1741600379.3442242
16,1,1,1,497,15,0.5107421875,0.8408203125,-0.2041015625,0.0,-0.06103515625,-0.3662109375,78.83088108759249,-102.31034532209028,-481.92332915351466,1741600379.3506722
17,1,1,1,512,15,0.51123046875,0.845703125,-0.203125,0.244140625,0.0,0.1220703125,80.32775483278839,-97.81972408650262,-498.47224023868205,1741600379.3571026
18,1,1,1,527,15,0.51513671875,0.84716796875,-0.2021484375,0.1220703125,-0.06103515625,-0.18310546875,68.35276487122125,-91.83222910571904,-510.5078119369856,1741600379.363514
19,1,1,1,542,15,0.51171875,0.8466796875,-0.212890625,0.06103515625,0.06103515625,-0.1220703125,72.84338610680892,-93.32910285091494,-507.4989190124097,1741600379.3699327
20,1,1,1,557,15,0.51513671875,0.8505859375,-0.21240234375,0.0,-0.06103515625,-0.30517578125,71.34651236161304,-84.34786037973959,-489.4455614649544,1741600379.3764608
21,1,1,1,572,15,0.50732421875,0.8583984375,-0.197265625,0.0,0.0,-0.1220703125,69.84963861641714,-90.33535536052314,-504.49002608783377,1741600379.5450473
22,1,1,1,587,15,0.51416015625,0.8564453125,-0.20654296875,0.06103515625,-0.1220703125,0.06103515625,71.34651236161304,-81.35411288934777,-505.99447255012177,1741600379.567363
23,1,1,1,602,15,0.5068359375,0.84521484375,-0.21630859375,-0.1220703125,0.0,0.0,68.35276487122125,-84.34786037973959,-486.43666854037843,1741600379.5737836
24,1,1,1,617,15,0.509765625,0.8505859375,-0.18994140625,-0.1220703125,0.0,-0.30517578125,60.86839614524178,-91.83222910571904,-513.5167048615615,1741600379.5802174
25,1,1,1,632,15,0.5078125,0.8505859375,-0.20166015625,-0.06103515625,0.06103515625,0.18310546875,66.85589112602536,-105.30409281248207,-483.4277756158026,1741600379.5866327
26,1,1,1,647,15,0.5087890625,0.845703125,-0.2080078125,-0.06103515625,0.0,-0.244140625,78.83088108759249,-99.3165978316985,-499.97668670097,1741600379.5930314
27,1,1,1,662,15,0.5107421875,0.8505859375,-0.20458984375,-0.06103515625,0.18310546875,-0.1220703125,68.35276487122125,-88.83848161532725,-499.97668670097,1741600379.599459
28,1,1,1,677,15,0.5087890625,0.85009765625,-0.20751953125,0.0,0.06103515625,-0.244140625,74.3402598520048,-102.31034532209028,-510.5078119369856,1741600379.6058517
29,1,1,1,692,15,0.5185546875,0.85498046875,-0.19677734375,0.0,0.06103515625,-0.1220703125,54.8809011644582,-93.32910285091494,-501.48113316325794,1741600379.6346295
30,1,1,1,707,15,0.51123046875,0.849609375,-0.2080078125,0.0,0.06103515625,0.0,77.3340073423966,-100.81347157689439,-493.95890085181816,1741600379.6410744
31,1,1,1,722,15,0.50634765625,0.85009765625,-0.2041015625,0.0,0.0,0.06103515625,72.84338610680892,-82.85098663454367,-493.95890085181816,1741600379.6474833
32,1,1,1,737,15,0.50732421875,0.8544921875,-0.21337890625,0.0,0.0,0.0,69.84963861641714,-97.81972408650262,-487.9411150026664,1741600379.653865
33,1,1,1,752,15,0.5068359375,0.85546875,-0.22021484375,-0.06103515625,0.0,-0.06103515625,68.35276487122125,-96.3228503413067,-505.99447255012177,1741600379.660276
