Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,272,3661272,-0.00537109375,0.0302734375,-1.0048828125,-5.126953125,0.732421875,0.30517578125,-99.29709459071874,108.7488527505306,88.26188005361698,1741599467.7944274
2,1,1,1,287,15,-0.01025390625,0.03369140625,-0.98974609375,-5.06591796875,0.6103515625,0.48828125,-108.2783370618941,131.201958928469,86.75743359132903,1741599467.8015118
3,1,1,1,302,15,-0.0068359375,0.03466796875,-0.9765625,-5.126953125,0.54931640625,0.0,-105.28458957150232,137.18945390925256,88.26188005361698,1741599467.8080466
4,1,1,1,317,15,-0.0029296875,0.046875,-0.9775390625,-5.06591796875,0.54931640625,0.06103515625,-112.76895829748179,129.7050851832731,80.73964774217725,1741599467.8144479
5,1,1,1,332,15,0.00048828125,0.0419921875,-1.00244140625,-5.2490234375,0.54931640625,0.244140625,-105.28458957150232,129.7050851832731,91.27077297819287,1741599467.82088
6,1,1,1,347,15,0.001953125,0.0380859375,-1.001953125,-4.94384765625,0.6103515625,0.18310546875,-105.28458957150232,119.22696896690185,85.25298712904109,1741599468.1651292
7,1,1,1,362,15,-0.0068359375,0.0283203125,-0.9833984375,-5.06591796875,0.3662109375,0.1220703125,-112.76895829748179,116.23322147651005,95.7841123650567,1741599468.171541
8,1,1,1,377,15,-0.0087890625,0.03955078125,-0.9892578125,-5.18798828125,0.54931640625,0.42724609375,-114.26583204267767,131.201958928469,86.75743359132903,1741599468.1781921
9,1,1,1,392,15,-0.00439453125,0.02587890625,-0.98681640625,-5.06591796875,0.67138671875,0.06103515625,-111.27208455228589,113.23947398611827,86.75743359132903,1741599468.185796
10,1,1,1,407,15,-0.0009765625,0.03759765625,-1.00244140625,-5.126953125,0.54931640625,0.06103515625,-90.3158521195434,117.73009522170595,82.2440942044652,1741599468.1922023
11,1,1,1,422,15,-0.0009765625,0.02880859375,-0.984375,-5.18798828125,0.42724609375,0.06103515625,-117.25957953306947,119.22696896690185,98.7930052896326,1741599468.2040567
12,1,1,1,437,15,0.005859375,0.033203125,-0.990234375,-5.126953125,0.6103515625,0.30517578125,-100.79396833591464,117.73009522170595,89.76632651590494,1741599468.6593413
13,1,1,1,452,15,-0.005859375,0.03759765625,-0.990234375,-5.18798828125,0.54931640625,0.06103515625,-111.27208455228589,125.21446394768543,79.2352012798893,1741599468.6763337
14,1,1,1,467,15,0.0048828125,0.02490234375,-0.98583984375,-5.126953125,0.54931640625,0.42724609375,-112.76895829748179,134.1957064188608,88.26188005361698,1741599468.702076
15,1,1,1,482,15,-0.0029296875,0.0283203125,-0.98095703125,-5.2490234375,0.6103515625,0.18310546875,-109.77521080709,137.18945390925256,88.26188005361698,1741599468.7087483
16,1,1,1,497,15,-0.00439453125,0.037109375,-0.9912109375,-5.18798828125,0.6103515625,0.244140625,-111.27208455228589,117.73009522170595,86.75743359132903,1741599468.715191
17,1,1,1,512,15,0.00341796875,0.0390625,-0.9951171875,-4.94384765625,0.67138671875,0.244140625,-103.78771582630642,117.73009522170595,89.76632651590494,1741599468.7215807
18,1,1,1,527,15,-0.00830078125,0.03076171875,-0.9853515625,-5.06591796875,0.42724609375,0.244140625,-118.75645327826535,128.2082114380772,79.2352012798893,1741599468.72856
19,1,1,1,542,15,0.0126953125,0.037109375,-0.9853515625,-5.126953125,0.54931640625,0.244140625,-111.27208455228589,131.201958928469,97.28855882734466,1741599468.7356148
20,1,1,1,557,15,0.0,0.0341796875,-0.9990234375,-5.18798828125,0.54931640625,0.3662109375,-100.79396833591464,117.73009522170595,82.2440942044652,1741599468.742372
21,1,1,1,572,15,0.0,0.0361328125,-0.9970703125,-4.94384765625,0.67138671875,0.244140625,-109.77521080709,126.7113376928813,95.7841123650567,1741599468.7490606
22,1,1,1,587,15,-0.001953125,0.03515625,-0.99658203125,-5.18798828125,0.48828125,0.1220703125,-111.27208455228589,128.2082114380772,82.2440942044652,1741599468.7613058
23,1,1,1,602,15,0.001953125,0.03662109375,-0.9912109375,-5.126953125,0.67138671875,0.3662109375,-108.2783370618941,125.21446394768543,86.75743359132903,1741599468.7678204
24,1,1,1,617,15,0.00390625,0.0380859375,-0.9912109375,-5.31005859375,0.6103515625,0.42724609375,-109.77521080709,119.22696896690185,95.7841123650567,1741599468.7817016
25,1,1,1,632,15,-0.00634765625,0.03076171875,-0.9990234375,-5.126953125,0.48828125,0.244140625,-102.29084208111054,108.7488527505306,88.26188005361698,1741599468.8067129
26,1,1,1,647,15,-0.0087890625,0.04345703125,-0.9912109375,-5.06591796875,0.48828125,0.1220703125,-99.29709459071874,116.23322147651005,88.26188005361698,1741599468.8345768
27,1,1,1,662,15,0.0,0.0341796875,-0.990234375,-5.06591796875,0.48828125,0.18310546875,-109.77521080709,134.1957064188608,88.26188005361698,1741599468.8423011
28,1,1,1,677,15,-0.005859375,0.03076171875,-0.9951171875,-5.18798828125,0.48828125,0.244140625,-109.77521080709,129.7050851832731,88.26188005361698,1741599468.848857
29,1,1,1,692,15,-0.00537109375,0.03662109375,-0.99169921875,-5.126953125,0.67138671875,0.244140625,-108.2783370618941,120.72384271209773,89.76632651590494,1741599468.8554611
30,1,1,1,707,15,-0.00439453125,0.0302734375,-1.0,-5.0048828125,0.54931640625,0.1220703125,-105.28458957150232,137.18945390925256,88.26188005361698,1741599468.861849
31,1,1,1,722,15,-0.00439453125,0.02685546875,-0.984375,-5.18798828125,0.48828125,0.30517578125,-108.2783370618941,135.69258016405666,82.2440942044652,1741599468.8682847
