Processed,Time(h),Time(m),Time(s),Time(ms),Delt,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,PCTimestamp
1,1,1,1,573,3661573,-0.041015625,1.00244140625,-0.0654296875,-1.220703125,-0.91552734375,0.1220703125,-214.5563729708025,-686.0911059484885,79.2352012798893,1745594339.9149225
2,1,1,1,588,15,-0.03955078125,1.00634765625,-0.083984375,-1.0986328125,-1.0986328125,0.18310546875,-240.00322663913266,-666.6317472609419,67.19962958158573,1745594339.9214394
3,1,1,1,603,15,-0.04248046875,0.9951171875,-0.0791015625,-1.28173828125,-1.8310546875,0.0,-244.49384787472036,-677.1098634773132,77.73075481760137,1745594340.0225294
4,1,1,1,618,15,-0.04541015625,1.0029296875,-0.060546875,-1.220703125,-2.197265625,0.18310546875,-237.0094791487409,-677.1098634773132,80.73964774217725,1745594340.0292692
5,1,1,1,633,15,-0.03857421875,1.00439453125,-0.0654296875,-1.28173828125,-2.44140625,0.06103515625,-231.02198416795733,-675.6129897321173,65.6951831192978,1745594340.035786
6,1,1,1,648,15,-0.0400390625,1.00830078125,-0.0654296875,-1.15966796875,-2.86865234375,0.06103515625,-244.49384787472036,-677.1098634773132,77.73075481760137,1745594340.0422354
7,1,1,1,663,15,-0.0400390625,1.0078125,-0.06396484375,-0.9765625,-3.0517578125,0.0,-245.99072161991626,-686.0911059484885,73.21741543073752,1745594340.0487216
8,1,1,1,678,15,-0.04052734375,1.00341796875,-0.06787109375,-0.91552734375,-2.50244140625,-0.06103515625,-253.4750903458957,-689.0848534388803,76.2263083553134,1745594340.1062453
9,1,1,1,693,15,-0.0400390625,0.99951171875,-0.07421875,-1.0986328125,-2.50244140625,0.30517578125,-237.0094791487409,-692.078600929272,70.20852250616163,1745594340.1199765
10,1,1,1,708,15,-0.03564453125,1.0068359375,-0.06689453125,-1.3427734375,-2.3193359375,0.06103515625,-242.99697412952446,-689.0848534388803,76.2263083553134,1745594340.1303883
11,1,1,1,723,15,-0.03369140625,1.00341796875,-0.0693359375,-1.28173828125,-2.3193359375,0.0,-242.99697412952446,-686.0911059484885,82.2440942044652,1745594340.1373236
12,1,1,1,738,15,-0.04296875,1.00830078125,-0.0625,-1.3427734375,-2.3193359375,0.18310546875,-238.50635289393676,-675.6129897321173,73.21741543073752,1745594340.143807
13,1,1,1,753,15,-0.03759765625,1.001953125,-0.06103515625,-1.28173828125,-1.89208984375,-0.1220703125,-245.99072161991626,-693.575474674468,89.76632651590494,1745594340.1503336
14,1,1,1,768,15,-0.03955078125,1.00537109375,-0.07861328125,-1.40380859375,-1.46484375,-0.1220703125,-237.0094791487409,-692.078600929272,67.19962958158573,1745594340.1672955
15,1,1,1,783,15,-0.025390625,1.00390625,-0.0654296875,-1.15966796875,-1.46484375,-0.1220703125,-240.00322663913266,-687.5879796936844,67.19962958158573,1745594340.1737902
16,1,1,1,798,15,-0.0419921875,1.00244140625,-0.07275390625,-1.3427734375,-1.52587890625,-0.30517578125,-242.99697412952446,-683.0973584580967,73.21741543073752,1745594340.1904914
17,1,1,1,813,15,-0.03857421875,1.00537109375,-0.068359375,-1.03759765625,-1.77001953125,-0.54931640625,-244.49384787472036,-666.6317472609419,80.73964774217725,1745594340.1970353
18,1,1,1,828,15,-0.04541015625,0.99365234375,-0.05078125,-1.03759765625,-1.953125,-0.54931640625,-242.99697412952446,-686.0911059484885,79.2352012798893,1745594340.2034972
19,1,1,1,843,15,-0.0283203125,1.00830078125,-0.060546875,-1.03759765625,-1.64794921875,-0.8544921875,-240.00322663913266,-684.5942322032926,70.20852250616163,1745594340.2099898
20,1,1,1,858,15,-0.04248046875,1.0166015625,-0.0625,-1.0986328125,-1.8310546875,-1.40380859375,-247.48759536511216,-695.0723484196639,61.18184373243395,1745594340.2165256
21,1,1,1,873,15,-0.04931640625,1.01513671875,-0.05078125,-1.0986328125,-1.708984375,-0.8544921875,-248.98446911030803,-689.0848534388803,82.2440942044652,1745594340.2229822
22,1,1,1,888,15,-0.04443359375,1.0107421875,-0.0615234375,-0.8544921875,-2.44140625,-0.54931640625,-244.49384787472036,-684.5942322032926,56.668504345570106,1745594340.2296977
23,1,1,1,903,15,-0.0400390625,0.99658203125,-0.0615234375,-0.91552734375,-2.74658203125,0.06103515625,-238.50635289393676,-689.0848534388803,62.68629019472189,1745594340.5186963
24,1,1,1,918,15,-0.0380859375,0.9951171875,-0.05712890625,-0.30517578125,-1.64794921875,0.30517578125,-253.4750903458957,-686.0911059484885,82.2440942044652,1745594341.2270417
25,1,1,1,933,15,-0.0498046875,1.00048828125,-0.0634765625,0.1220703125,-0.18310546875,0.8544921875,-247.48759536511216,-687.5879796936844,67.19962958158573,1745594341.244949
26,1,1,1,948,15,-0.05126953125,1.0166015625,-0.05908203125,0.42724609375,0.54931640625,1.40380859375,-240.00322663913266,-684.5942322032926,64.19073665700984,1745594341.6475222
27,1,1,1,963,15,-0.06396484375,1.017578125,-0.0673828125,0.732421875,-0.3662109375,3.0517578125,-237.0094791487409,-695.0723484196639,77.73075481760137,1745594341.653985
28,1,1,1,978,15,-0.064453125,1.0185546875,-0.08837890625,0.48828125,-1.953125,4.5166015625,-242.99697412952446,-683.0973584580967,79.2352012798893,1745594341.6604488
